용어,설명
마력,"마력광물자원용어사전 작업율의 실용단위. 1초에 대하여 75kg.m의 비율로 행하여지는 작업율을 미터 마력이라고 하며 0.7355kw에 상당한다. 이밖에 1초간에 550ft-1b의 비율로 행하여지는 작업률을 표시하는 영(英)마력도 있다. 일본에서는 이것을 0.746kw로 표시하고 있다. 외국어 표기 horse power(영어), 馬力(한자) 마력농업용어사전: 농촌진흥청..."
"전과확대 [戰果擴大, Exploitation]","1. 전투에서 달성한 성공의 이점을 최대로 하기 위하여 실시하는 공격작전의 한 형태. 2. 성공적인 공격으로 적의 방어체계가 약화되거나 또는 붕괴되었을 시 이의 이점을 이용하여 실시하는 공격작전으로 목적은 적 방어의 재편성을 방지하고, 철수를 방지하며, 종심 깊은 목표를 확보하여 적 부대를 격멸하기 위한 것."
"사계청소 [射界淸掃, Clearing the Field of Fire]",사계를 양호하게 하여 효과적인 사격을 할 수 있도록 하기 위하여 사격진지 전면의 방해물을 제거하는 작업.
에어로졸,에어로졸지구과학사전 대기 중에 부유하는 고체 또는 액체상태의 작은 입자로 그 크기는 보통 0.001∼1.0 ㎛ 정도이다. 에어로졸은 자연적으로 또는 화석 연료 사용 등에 의하여 인공적으로 만들어질 수 있다. 에어로졸은 대기에서 구름이나 강수 형성에 중요한 응결핵이나 빙정핵의 역할을 할 수 있다. 또한 에어로졸은 여러 화학반응을 통하여 대기...
"효력사 [效力射, Fire for Effect]",1. 평균탄착점이나 평균폭파점이 표적의 요망거리 또는 거리수정 지점 내에 있을 때 그 후에 실시하는 사격. 2. 거리수정이 만족할 때와 효력사격이 요망되는 것을 표시하는 사격명령의 일종.
"공정작전 [空挺作戰, Airborne Operation]","전략적 또는 작전적 임무수행을 위하여 전투부대와 장비를 수송항공기에 의하여 목표지역으로 이동시켜서 공두보를 확보한 후 제한 지상작전을 실시하는 작전. 통상 임무, 지휘, 규모, 항공기의 형태 및 용도, 근무지원에 따라서 공중기동 작전과는 구분될 수 있음."
"내란 [內亂, Internal Disturbances]","국가의 정치적 기본제도 및 조직을 불법적으로 파괴, 변혁할 목적으로 대규모의 폭동을 일으키는 상태."
"기본휴대량 [基本携帶量, Basic Load]",개인 또는 편제부대가 항시 보유하도록 인가된 탄약의 양(量)으로써 화기당 발수 또는 부대당 수량으로 표시됨.
"기동부대 [機動部隊, Maneuvering Forces]",1. 특수작전이나 임무의 수행을 목적으로 단일지휘관 아래 편성되는 임시적인 단위대의 결합체(특수임무부대). 2. 계속적이고 특정한 임무의 수행을 목적으로 단일지휘관 아래에 편성되는 반영구적인 단위부대들의 편성체. 3. 특정된 과업완수를 위하여 기동함대사령관 또는 상급부서 지시에 의하여 편성되는 함대의 한 구성부대.
"동류전용 [同類轉用, Cannibalization]",사용불가 장비로부터 사용 가능한 부속이나 부분품(구성품 및 완제품)을 제거하거나 취득하여 동일 종류의 장비를 수리하는 것. 정비의 원칙에서는 이와 같은 행위를 금지하고 있으나 다음과 같은 경우에는 허용되고 있음. 1. 단시간 내에 보급지원을 받을 수 없는 접적지역에서의 비상사태. 2. 군수참모부장이 설정한 특정장비의 특정부속품. 3. 폐처리...
"차단선 [遮斷線, Interdiction Line]","침투한 적의 이동을 차단함으로서 작전지역의 확대를 방지하고 적을 특정지역에서 포착 섬멸하기 위하여 병력을 배치하는 저지선으로서 지형의 특징, 가용병력, 기동력 및 적의 침투능력을 고려하여 선정함."
"최후방어사격 [最後防禦射擊, Final Defensive Fire]",방어시 거점 직전방과 측방 등의 적립근로 및 침투로 지역에 적의 돌격을 최후로 저지 및 격멸할 수 있도록 화력을 집중 운영하는 계획사격. 개략적인 위치는 연대장 및 대대장이 선정하고 정확한 위치는 중대장이 선정한다.
"후방지역경계 [後方地域警戒, Rear Area Security]",후방지역 내의 부대활동 및 시설에 대한 국부적인 적의 위협을 무력화 또는 격멸하기 위하여 취해지는 모든 대책을 말함.
"겸직 [兼職, subsidiary duty]",한 개인이 주 임무를 수행하는 직책 외에 수행하는 또 다른 직책.
"유효풍통신문 [有效風通信文, Effective Downwind Message]","화생반 반에서 작성하여 예하 및 인접부대에 전파하는 통신문으로 핵무기 2KT, 5KT, 30KT, 100KT, 300KT, 1MT에 대한 유효 아랫바람 방향과 유효 아랫바람 속도를 숫자로써 나타낸 것이며, 간이 낙진예측에 사용됨."
방위각,"방위각해양용어사전 천구(celestial sphere)상에서 천체의 위치를 표시하는데 있어, 그 천체를 포함하는 수직권과 관측자가 서 있는 위치를 포함하는 자오선(meridian)이 이루는 각도를 방위각이라 한다. 남점을 기준으로 하여 서쪽으로 360°까지 잰다. 따라서, 남점의 방위각은 0°, 서점은 90°, 북점은 180°, 동점은 270°가 된다. 외국어 표기 方位角(한자)..."
방사선,"방사선간호학대사전 고속으로 운동하는 입자의 흐름과 파장이 짧은 전자파를 방사선이라고 한다. 방사선에는 α선, β선, γ선, 양자, 중양자와 무거운 원자핵의 선속이 포함된다. 방사선은 원자 또는 원자핵 등이 하나의 정상상태에서 에너지가 낮은 다른 정상상태로 이동할 때 방출된다. 외국어 표기 radiation(영어), 放射腺(한자), Strahlung(독일어) 동..."
핵분열,"핵분열Basic 중학생을 위한 기술·가정 용어사전 핵이 둘로 갈라지는 현상. 세포가 둘로 분열하여 두 개의 세포가 되는 것을 세포 분열이라 한다. 이때 핵이 먼저 두 개로 쪼개지고 나서 핵을 한 개씩 함유하여 두 개의 세포가 된다. 세포 분열은 반드시 핵분열을 수반하는데, 핵분열만 일어나고 세포 분열이 일어나지 않는 경우도 있다. 핵 분열화학용어..."
"단독군장 [單獨軍裝, undress battle order]","탄약, 수통, 야전삽, 방독면, 수류탄, 대검 등을 착용·휴대하는 전투복장."
"재조직 [再組織, Reorganization]","재조직은 부대의 전투력이 50% 미만으로 저하되어 재편성 방법을 통해서는 임무수행에 필요한 전투력을 회복시킬 수 없을 때 실시하는 전투력 복원방법으로서, 복원부대를 안전지대로 이동시켜 병력, 장비, 보급품을 대규모로 보충하고, 지휘통제체계를 재구성하며, 임무수행에 필요한 훈련을 실시하여 전투임무에 복귀시키는 조치."
"보초선 [步哨線, line of sentries, sentry line]",1. 보초의 경계 구역 내의 선. 2. 보초의 경계 책임구역과 그 한계선.
"작전환경 [作戰環境, Operational Environment]","1. 부대운용에 영향을 미치고 지휘관의 결심에 관계되는 조건이나 주위 상황 및 영향을 총칭하는 말. 2. 군사작전에 영향을 미치는 다양한 조건과 주변의 상황으로서, 여기에는 국가목표와 이를 달성하는 데 영향을 미치는 제반 고려사항, 작전지역, 주민의 성향, 적의 구성 및 임무, 무기체계 등이 포함됨."
"직접지원 [直接支援, Direct Support]",1. 지원부대가 피지원부대에 작전통제나 또는 배속되지 않았어도 피지원부대의 지원요청에는 지원의 최우선권을 부여해서 지원하는 형태. 2. 포병부대가 특정기동부대에 대하여 즉각적으로 지속적인 근접지원 화력을 제공하도록 책임을 부여하는 전술적 임무형태.
"특별첩보요구 [特別諜報要求, Special Request Intelligence]","특정기관에 대하여 특별첩보를 제한된 기간내 수집해서 제공해 줄 것을 요구하는 수집요령(표적정보, 기술정보, 정찰요구 및 지도)."
"격발총 [擊發銃, percussion rifle]",공이의 격발로 발사되는 소총.
"편성 [編成, Organization]","집단의 공동목표를 달성하기 위하여 필요한 인원, 물자, 시설, 예산 등을 유기적으로 결합하고 조화시키는 과정. 즉 목적달성을 위하여 소정의 편제를 취하는 것. 군대조직에 적용할 때는 군의 단위부대 또는 합법적인 권위에 의해 규정된 군부대의 한정적인 조직을 가리킴. 군조직체로는 완전편성, 감소편성, 기간편성으로 구분함."
"화공작전 [火攻作戰, Operation of Attacking with Fire]","자연 또는 인위적인 수단을 활용, 불을 이용하여 적을 공격하는 작전으로서, 재래식 방법과 현대 첨단무기를 적절히 결합하여 운용하면 보다 큰 작전의 성과달성이 가능하며 열, 연기, 불티 등을 수반하는 산화현상으로 살상 및 소이, 조명, 연막, 심리적 효과 등의 달성이 가능함."
"군사좌표 [軍事座標, military coordinates]","군사지도 독도법에 사용되는 용어로, 평면 상의 점의 위치를 직교하는 동서·남북 두 직선에서의 거리로 결정하며, 동서를 나타내는 경도 수자군과 남북을 나타내는 위도 수자군을 연결하여 표시함."
"소대 [小隊, platoon]","소위 또는 중위가 지휘하는 육군의 최하 단위 부대로서 예하 각 분대(통상 3~4개)의 전투력을 통합 발휘하는 부대며, 특히 돌격시의 기본 단위임."
침투 및 국지도발 대비작전 [浸透-局地挑發 對備作戰],평시 및 분쟁시 적이 일정한 지역에서 특정한 목적을 달성하기 위하여 우리의 국민과 재산 또는 국가 영역에 가하는 일체의 군사적·비군사적 위협에 대비하는 작전. 대침투작전과 대비작전으로 구분됨.
구균,"구균간호학대사전 균의 형이 구상을 한 것. 정원형, 란세트형, 누에콩형 등이 있다. 또 균의 종류에 따라서 특징이 있는 배열을 한다. 포도송이 모양으로 집합하는 포도구균, 일렬로 연쇄하는 연쇄구균, 반드시 2개, 4개, 8개씩 마주하고 있는 쌍구균, 4연구균, 8연구균 등이 있다. 이것은 세균의 분열방식에 따른 것으로 생각되고 있다. 외국어 표기 cocc..."
리케차,"리케차화학용어사전 세균보다 작은 (0.3×0.3μm)편성세포 내 기생체. 절지동물 세포에서 많이 발견되지만 인체에 감염되는 경우도 있다. 예를 들면 발진티프스 등 이로 매개되는 열성 전염병 등이 있다. 외국어 표기 rickettsia(영어) 리케차군사용어사전 크기는 세균보다 작고 바이러스보다 큰 미생물로 그램음성, 비운동성, 편성 기생균. 발진티푸스..."
"중화기 [重火器, Heavy Weapon]","박격포, 곡사포, 평사포, 중기관총 등 화력이 강력하고 한 사람의 병사가 도수 운반하기 곤란할 정도로 무거운 화기."
콤프턴 효과,"콤프톤효과간호학대사전 X-선이나 γ선이 전자에 의해서 산란 되고 에너지의 일부를 잃는 현상. 그 결과 산란된 광자는 그 파장이 길수록 빗나간다. 또 광자와 충돌한 전자는 튕겨지게 된다. 이 전자를 반도전자(反跳電子)라고 한다. 외국어 표기 compton effect(영어), ~效果(한자), Effekt Compton(독일어) 콤프턴 효과환경공학용어사전 물질에 전자파..."
"유격전 [遊擊戰, Guerrilla Warfare]","적 지역이나 적 점령지역 내에서 무장한 주민 또는 정규군 요원에 의해서 직접, 간접으로 불규칙하게 수행되는 군사 및 준군사활동."
격납고,"격납고토목용어사전 항공기의 격납, 정비 점검을 하는 건물을 말한다. 외국어 표기 hanger(영어), 格納庫(한자) 격납고군사용어사전 항공기를 안전하게 보관 정비하는 창고. 외국어 표기 格納庫(한자), hangar(영어) 격납고항공우주공학용어사전 항공기를 주기하거나 보관하는데 사용되는 건물. 외국어 표기 hangar(영어)"
"요망효과 [要望效果, desired effect]","1. 지휘관이 핵무기의 폭발로 달성하려고 하는 적군 병력이나 자재에 대한 가해 또는 사상. 2. 표적을 공격할 때 요망되는 효과로 제압, 무력화, 또는 파괴로 구분됨."
